Twitter-ID,Name,Link,left-right,Party,Country,Follower,Notes
@Alice_Weidel,Alice Weidel,https://twitter.com/Alice_Weidel,1,AfD,Germany,130.600,
@BjoernHoecke,Björn Höcke,https://twitter.com/BjoernHoecke,1,AfD,Germany,47.800,
@Joerg_Meuthen,Jörg Meuthen,https://twitter.com/Joerg_Meuthen,1,AfD,Germany,75.100,
@Beatrix_vStorch,Beatrix von Storch,https://twitter.com/Beatrix_vStorch,1,AfD,Germany,66.000,
@vilimsky,Harald Vilimsky,https://twitter.com/vilimsky,1,FPOE,Austria,14.027,
@hafi1980,Christian Hafenecker,https://twitter.com/hafi1980,1,FPOE,Austria,3.092,
@HJenewein,Hans-Joerg Jenewein,https://twitter.com/HJenewein,1,FPOE,Austria,3.342,
@norbertghofer,Norbert Hofer,https://twitter.com/norbertghofer,1,FPOE,Austria,29.300,
@WKogler,Werner Kogler,https://twitter.com/WKogler,0,GRUENE,Austria,75.100,
@Alma_Zadic,Alma Zadic,https://twitter.com/Alma_Zadic,0,GRUENE,Austria,44.400,
@sigi_maurer,Sigi Maurer,https://twitter.com/sigi_maurer,0,GRUENE,Austria,46.100,
@lgewessler,Leonore Gewessler,https://twitter.com/lgewessler,0,GRUENE,Austria,5.320,
@ABaerbock,Annalena Baerbock,https://twitter.com/abaerbock,0,BUENDNIS 90/DIE GRUENEN,Germany,359.900,
@therealhabeck,Robert Habeck,https://twitter.com/therealhabeck,0,BUENDNIS 90/DIE GRUENEN,Germany,85.220,
@MiKellner,Michael Kellner,https://twitter.com/mikellner,0,BUENDNIS 90/DIE GRUENEN,Germany,25.300,
@jamila_anna,Jamila Schaefer,https://twitter.com/jamila_anna,0,BUENDNIS 90/DIE GRUENEN,Germany,26.000,
